2026-04-21 13:07:58,681 INFO train_baseline: TIME_BUDGET overridden to 1800s via TRAIN_TIME_BUDGET env var
2026-04-21 13:08:09,102 INFO train_baseline: Vocab size: 8,192
2026-04-21 13:08:09,102 INFO train_baseline: Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
2026-04-21 13:08:09,846 INFO train_baseline: Parameter counts:
2026-04-21 13:08:09,847 INFO train_baseline:   wte                     : 2,097,152
2026-04-21 13:08:09,847 INFO train_baseline:   value_embeds            : 4,194,304
2026-04-21 13:08:09,847 INFO train_baseline:   lm_head                 : 2,097,152
2026-04-21 13:08:09,847 INFO train_baseline:   transformer_matrices    : 3,145,856
2026-04-21 13:08:09,847 INFO train_baseline:   scalars                 : 8
2026-04-21 13:08:09,847 INFO train_baseline:   total                   : 11,534,472
2026-04-21 13:08:09,847 INFO train_baseline: Estimated FLOPs per token: 4.718669e+07
2026-04-21 13:08:09,847 INFO train_baseline: Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
2026-04-21 13:08:12,207 INFO train_baseline: Time budget: 1800s
2026-04-21 13:08:12,207 INFO train_baseline: Gradient accumulation steps: 1
2026-04-21 13:08:51,822 INFO train_baseline: step 00000 (0.0%) | loss: 9.010271 | lrm: 1.00 | mfu: 0.0% | epoch: 1 | remaining: 1800s
2026-04-21 13:08:59,141 INFO train_baseline: step 00050 (0.3%) | loss: 2.896691 | lrm: 1.00 | mfu: 4.6% | epoch: 1 | remaining: 1794s
2026-04-21 13:09:06,246 INFO train_baseline: step 00100 (0.7%) | loss: 2.294843 | lrm: 1.00 | mfu: 4.6% | epoch: 1 | remaining: 1787s
2026-04-21 13:09:13,324 INFO train_baseline: step 00150 (1.1%) | loss: 2.100738 | lrm: 1.00 | mfu: 4.6% | epoch: 1 | remaining: 1780s
2026-04-21 13:09:20,645 INFO train_baseline: step 00200 (1.5%) | loss: 2.013608 | lrm: 1.00 | mfu: 4.3% | epoch: 1 | remaining: 1773s
2026-04-21 13:09:27,941 INFO train_baseline: step 00250 (1.9%) | loss: 1.953017 | lrm: 1.00 | mfu: 4.0% | epoch: 1 | remaining: 1765s
2026-04-21 13:09:35,338 INFO train_baseline: step 00300 (2.3%) | loss: 1.917533 | lrm: 1.00 | mfu: 4.3% | epoch: 1 | remaining: 1758s
2026-04-21 13:09:42,838 INFO train_baseline: step 00350 (2.7%) | loss: 1.888199 | lrm: 1.00 | mfu: 4.6% | epoch: 1 | remaining: 1751s
2026-04-21 13:09:50,228 INFO train_baseline: step 00400 (3.1%) | loss: 1.852934 | lrm: 1.00 | mfu: 4.6% | epoch: 1 | remaining: 1743s
2026-04-21 13:09:57,545 INFO train_baseline: step 00450 (3.6%) | loss: 1.839326 | lrm: 1.00 | mfu: 4.4% | epoch: 1 | remaining: 1736s
2026-04-21 13:10:05,014 INFO train_baseline: step 00500 (4.0%) | loss: 1.822264 | lrm: 1.00 | mfu: 4.2% | epoch: 1 | remaining: 1728s
2026-04-21 13:10:12,488 INFO train_baseline: step 00550 (4.4%) | loss: 1.827125 | lrm: 1.00 | mfu: 4.4% | epoch: 1 | remaining: 1721s
2026-04-21 13:10:19,906 INFO train_baseline: step 00600 (4.8%) | loss: 1.799013 | lrm: 1.00 | mfu: 4.7% | epoch: 1 | remaining: 1714s
2026-04-21 13:10:27,389 INFO train_baseline: step 00650 (5.2%) | loss: 1.792663 | lrm: 1.00 | mfu: 4.3% | epoch: 1 | remaining: 1706s
2026-04-21 13:10:34,815 INFO train_baseline: step 00700 (5.6%) | loss: 1.782609 | lrm: 1.00 | mfu: 4.2% | epoch: 1 | remaining: 1699s
2026-04-21 13:10:42,147 INFO train_baseline: step 00750 (6.0%) | loss: 1.777706 | lrm: 1.00 | mfu: 4.6% | epoch: 1 | remaining: 1691s
2026-04-21 13:10:49,547 INFO train_baseline: step 00800 (6.4%) | loss: 1.782362 | lrm: 1.00 | mfu: 2.9% | epoch: 1 | remaining: 1684s
2026-04-21 13:10:56,795 INFO train_baseline: step 00850 (6.8%) | loss: 1.768492 | lrm: 1.00 | mfu: 4.6% | epoch: 1 | remaining: 1677s
2026-04-21 13:11:04,204 INFO train_baseline: step 00900 (7.3%) | loss: 1.764411 | lrm: 1.00 | mfu: 4.4% | epoch: 1 | remaining: 1669s
2026-04-21 13:11:11,530 INFO train_baseline: step 00950 (7.7%) | loss: 1.757376 | lrm: 1.00 | mfu: 4.1% | epoch: 1 | remaining: 1662s
2026-04-21 13:11:18,989 INFO train_baseline: step 01000 (8.1%) | loss: 1.747793 | lrm: 1.00 | mfu: 4.0% | epoch: 1 | remaining: 1654s
2026-04-21 13:11:26,064 INFO train_baseline: step 01050 (8.5%) | loss: 1.752408 | lrm: 1.00 | mfu: 4.4% | epoch: 1 | remaining: 1647s
2026-04-21 13:11:33,026 INFO train_baseline: step 01100 (8.9%) | loss: 1.752721 | lrm: 1.00 | mfu: 4.7% | epoch: 1 | remaining: 1640s
2026-04-21 13:11:40,089 INFO train_baseline: step 01150 (9.2%) | loss: 1.745200 | lrm: 1.00 | mfu: 5.0% | epoch: 1 | remaining: 1633s
2026-04-21 13:11:47,018 INFO train_baseline: step 01200 (9.6%) | loss: 1.755711 | lrm: 1.00 | mfu: 4.8% | epoch: 1 | remaining: 1626s
2026-04-21 13:11:53,909 INFO train_baseline: step 01250 (10.0%) | loss: 1.749066 | lrm: 1.00 | mfu: 4.7% | epoch: 1 | remaining: 1620s
2026-04-21 13:12:00,940 INFO train_baseline: step 01300 (10.4%) | loss: 1.729618 | lrm: 1.00 | mfu: 2.9% | epoch: 1 | remaining: 1613s
2026-04-21 13:12:07,895 INFO train_baseline: step 01350 (10.8%) | loss: 1.729555 | lrm: 1.00 | mfu: 5.1% | epoch: 1 | remaining: 1606s
2026-04-21 13:12:14,817 INFO train_baseline: step 01400 (11.2%) | loss: 1.722857 | lrm: 1.00 | mfu: 4.5% | epoch: 1 | remaining: 1599s
2026-04-21 13:12:21,791 INFO train_baseline: step 01450 (11.6%) | loss: 1.724981 | lrm: 1.00 | mfu: 5.2% | epoch: 1 | remaining: 1592s
2026-04-21 13:12:28,825 INFO train_baseline: step 01500 (12.0%) | loss: 1.722775 | lrm: 1.00 | mfu: 4.6% | epoch: 1 | remaining: 1585s
